Time,Real_MSD,Real_Alpha,Fit_MSD,Fit_Alpha
60,453092.6360527446,1.3077568489266145,497102.23351863265,1.282754684478726
120,1430457.67711064,1.655828253579248,1194810.991652784,1.6242901609644456
180,2881468.6967431875,1.9946129512217468,2899971.1063973387,1.9568672847981254
240,4716354.768467044,1.8483848740443136,4597430.167004224,1.9155869429203491
300,6935586.484293072,1.712411005444686,6959953.247721641,1.6497329815925355
360,9592453.424379604,1.7856178301341927,9085235.034012772,1.603497177658582
420,12784140.17422538,1.797966945699713,11777087.815644613,1.6587985409470036
480,16280583.450035349,1.7179182740058394,14875842.664001511,1.6769033444971626
540,19802295.60553465,1.5511187855632897,18229553.184423592,1.625897172860249
600,23020719.755157348,1.3502803668486365,21451721.17668454,1.4722009683710269
660,25900468.47275145,1.1632007312282724,24420509.94099087,1.3439960931665667
720,28497917.52667756,1.0119222991233272,27217959.702732254,1.2674879130561862
780,30764664.092178773,0.8974717299471564,30145321.440512978,1.2180474611312206
840,32730030.51370911,0.8210951437515916,33089713.076382283,1.1315046338878005
900,34561465.7323606,0.7911986661933952,35573780.05898315,0.9771281495082462
960,36332844.33806358,0.7848973473321337,37725776.98208527,0.812076965962035
1020,38176317.14767654,0.7542339329831691,39286439.04141945,0.7075045973109013
1080,39884789.409507625,0.7020257822427425,40821245.01207996,0.6610234290254198
1140,41309145.38635253,0.6571211050983266,42371562.085994825,0.6389822492943438
1200,42518207.03367827,0.6425872430253605,43801456.5150159,0.5877511124390082
1260,43990812.89537447,0.6476489567068882,44996884.1156878,0.5062106600310585
1320,45387589.41016959,0.6276937276197145,45934170.19263531,0.4345518206185375
1380,46680005.994866826,0.5377825975106134,46683280.91670245,0.3804262933766722
1440,47566107.92022713,0.43065195222004604,47533331.11095159,0.34049462655869434
1500,48318638.59751585,0.3559298239590589,48111299.83594336,0.2954062743032466
1560,48817283.46732252,0.31297568910508744,48611843.85645447,0.21439138132379298
1620,49568097.20779522,0.2837811943757629,48936182.478366345,0.1113023658028851
1680,49944689.40308714,0.2387997591777662,49089653.00888973,0.010043830071481352
1740,50359983.01842167,0.2157474472417104,48935360.69707543,-0.04151315554981188
